epoch,train_loss,train_acc,accuracy,train_detached_loss,test_detached_loss,optimizer,loss_fn,repetition,initial_lr,actual_lr,corr_p,epoch_time,method
22,-9.258475559181533e-05,0.7440166666666667,0.7465,0.08325132788221042,0.08575741312503815,Adam,,,1e-06,1e-06,0.2,1.4309897422790527,FWD
23,-9.294369682126368e-05,0.7465333333333334,0.7487,0.08603386959433555,0.08867900896072388,Adam,,,1e-06,1e-06,0.2,1.4349560737609863,FWD
24,-9.322406277836611e-05,0.7482833333333333,0.7502,0.08877734220425287,0.0915418131828308,Adam,,,1e-06,1e-06,0.2,1.4208929538726807,FWD
25,-9.345887719731157e-05,0.74975,0.7511,0.09148823778231939,0.09437237329483032,Adam,,,1e-06,1e-06,0.2,1.478180170059204,FWD
26,-9.367187249202591e-05,0.7508666666666667,0.7517,0.09407351295550664,0.09706920096874237,Adam,,,1e-06,1e-06,0.2,1.4217967987060547,FWD
27,-9.386214740031089e-05,0.7518666666666667,0.752,0.0964891377011935,0.09958080070018768,Adam,,,1e-06,1e-06,0.2,1.4206008911132812,FWD
28,-9.403427895934632e-05,0.75295,0.7529,0.09877205090522766,0.10195561408996583,Adam,,,1e-06,1e-06,0.2,1.425894021987915,FWD
29,-9.419929277695094e-05,0.7538333333333334,0.7537,0.10089076469143232,0.10416098182201386,Adam,,,1e-06,1e-06,0.2,1.4169361591339111,FWD
30,-9.434961705313374e-05,0.7546333333333334,0.7539,0.10282306887308756,0.1061689703464508,Adam,,,1e-06,1e-06,0.2,1.7118480205535889,FWD
31,-9.447874991456046e-05,0.7549833333333333,0.7544,0.10456757649183274,0.1079790340423584,Adam,,,1e-06,1e-06,0.2,1.6087980270385742,FWD
32,-9.459192360324475e-05,0.7553666666666666,0.7552,0.10612552855610848,0.10959450886249542,Adam,,,1e-06,1e-06,0.2,1.4485230445861816,FWD
33,-9.469448206946254e-05,0.7557166666666667,0.7554,0.10750886095762253,0.11102898442745208,Adam,,,1e-06,1e-06,0.2,1.4563531875610352,FWD
34,-9.478993853554129e-05,0.7559666666666667,0.7558,0.10873617253700892,0.11230225057601928,Adam,,,1e-06,1e-06,0.2,1.480968952178955,FWD
35,-9.488013699107492e-05,0.7563166666666666,0.7558,0.1098257596373558,0.11343202874660492,Adam,,,1e-06,1e-06,0.2,1.4282660484313965,FWD
36,-9.4965914322529e-05,0.7566333333333334,0.7559,0.11079658644795418,0.11443806626796722,Adam,,,1e-06,1e-06,0.2,1.4266951084136963,FWD
37,-9.504766209477869e-05,0.7569,0.7562,0.11166963492631912,0.1153412727355957,Adam,,,1e-06,1e-06,0.2,1.6072237491607666,FWD
38,-9.51255206639568e-05,0.75705,0.7561,0.11245455311139424,0.11615227613449097,Adam,,,1e-06,1e-06,0.2,1.5847079753875732,FWD
39,-9.520010624158507e-05,0.7572333333333333,0.7564,0.11316811192433039,0.11688920917510986,Adam,,,1e-06,1e-06,0.2,1.6096041202545166,FWD
40,-9.52716153076229e-05,0.7574166666666666,0.7568,0.11382333653966586,0.11756618039608002,Adam,,,1e-06,1e-06,0.2,1.5469818115234375,FWD
41,-9.533979241386988e-05,0.7575333333333333,0.7569,0.11443003968993823,0.1181937206506729,Adam,,,1e-06,1e-06,0.2,1.4519150257110596,FWD
42,-9.54045825288631e-05,0.7577333333333334,0.757,0.11499587163329124,0.11877944056987763,Adam,,,1e-06,1e-06,0.2,1.442138910293579,FWD
43,-9.54661655317371e-05,0.7579333333333333,0.7573,0.11552416510184606,0.11932665638923645,Adam,,,1e-06,1e-06,0.2,1.4223380088806152,FWD
44,-9.552473414223641e-05,0.7580833333333333,0.7575,0.11601911180814108,0.11983992803096771,Adam,,,1e-06,1e-06,0.2,1.4222068786621094,FWD
45,-9.558063439908437e-05,0.75825,0.7577,0.11648444187641144,0.12032259910106659,Adam,,,1e-06,1e-06,0.2,1.4191980361938477,FWD
46,-9.563420403089064e-05,0.7582833333333333,0.7578,0.11692330065170924,0.12077828409671783,Adam,,,1e-06,1e-06,0.2,1.5333571434020996,FWD
47,-9.568557459667015e-05,0.75845,0.7578,0.11733743378718695,0.12120836734771728,Adam,,,1e-06,1e-06,0.2,1.5608420372009277,FWD
48,-9.57351275991338e-05,0.7586,0.7581,0.11773049209713936,0.12161691572666168,Adam,,,1e-06,1e-06,0.2,1.534820318222046,FWD
49,-9.578296700880552e-05,0.7586166666666667,0.758,0.11810402715802193,0.12200546162128449,Adam,,,1e-06,1e-06,0.2,1.6280732154846191,FWD
50,-9.582942676497623e-05,0.7586833333333334,0.7582,0.11845995151599248,0.12237576243877411,Adam,,,1e-06,1e-06,0.2,1.5134048461914062,FWD
51,-9.587474207704266e-05,0.7587833333333334,0.7581,0.1188003642976284,0.1227299058675766,Adam,,,1e-06,1e-06,0.2,1.5128698348999023,FWD
52,-9.591907766104365e-05,0.7589166666666667,0.7581,0.11912885577678681,0.12307154324054718,Adam,,,1e-06,1e-06,0.2,1.5018730163574219,FWD
53,-9.596229042314614e-05,0.7590166666666667,0.7582,0.11944461062550545,0.1233993191242218,Adam,,,1e-06,1e-06,0.2,1.492384910583496,FWD
54,-9.600403091365782e-05,0.7592,0.7582,0.11975093748569489,0.12371708884239196,Adam,,,1e-06,1e-06,0.2,1.5668468475341797,FWD
55,-9.604398934558655e-05,0.75925,0.7583,0.12004588850339254,0.12402249865531921,Adam,,,1e-06,1e-06,0.2,1.544692039489746,FWD
56,-9.608244580643562e-05,0.7593333333333333,0.7584,0.1203322474916776,0.1243190021276474,Adam,,,1e-06,1e-06,0.2,1.5218968391418457,FWD
57,-9.611958136665635e-05,0.75935,0.7586,0.12060945150256157,0.1246056446313858,Adam,,,1e-06,1e-06,0.2,1.441392183303833,FWD
58,-9.615544194627243e-05,0.7594333333333333,0.7586,0.12087890550692876,0.12488427839279174,Adam,,,1e-06,1e-06,0.2,1.4736909866333008,FWD
59,-9.619040404601644e-05,0.7593833333333333,0.7589,0.12114009363849958,0.12515427746772767,Adam,,,1e-06,1e-06,0.2,1.6544430255889893,FWD
60,-9.622442577965557e-05,0.7595166666666666,0.759,0.1213931835869948,0.12541565318107606,Adam,,,1e-06,1e-06,0.2,1.4509479999542236,FWD
61,-9.62578993892142e-05,0.7595666666666666,0.7589,0.12163991461992264,0.12567044847011566,Adam,,,1e-06,1e-06,0.2,1.5583219528198242,FWD
62,-9.629073051231293e-05,0.75975,0.759,0.12187890182336171,0.12591691498756408,Adam,,,1e-06,1e-06,0.2,1.4417650699615479,FWD
63,-9.632304246188142e-05,0.7598,0.7589,0.12211150762637456,0.1261566705226898,Adam,,,1e-06,1e-06,0.2,1.423382043838501,FWD
64,-9.63546302227769e-05,0.75985,0.7592,0.12233870519598325,0.12639097118377685,Adam,,,1e-06,1e-06,0.2,1.4231538772583008,FWD
65,-9.638556034963889e-05,0.7598166666666667,0.7594,0.12255971390406291,0.12661862354278564,Adam,,,1e-06,1e-06,0.2,1.4226176738739014,FWD
66,-9.641579787130467e-05,0.7599333333333333,0.7594,0.12277728697856267,0.126842595744133,Adam,,,1e-06,1e-06,0.2,1.4226891994476318,FWD
67,-9.64453482204893e-05,0.76005,0.7594,0.12299216353098552,0.1270639895439148,Adam,,,1e-06,1e-06,0.2,1.4225447177886963,FWD
68,-9.647431480698288e-05,0.76015,0.7596,0.12320503125389418,0.12728343575000764,Adam,,,1e-06,1e-06,0.2,1.4206998348236084,FWD
69,-9.650279609874512e-05,0.76025,0.7596,0.12341696147123972,0.1275021291732788,Adam,,,1e-06,1e-06,0.2,1.4995379447937012,FWD
70,-9.65305276059856e-05,0.7602333333333333,0.7594,0.12362276535034179,0.12771464061737062,Adam,,,1e-06,1e-06,0.2,1.7154250144958496,FWD
71,-9.655741009822426e-05,0.7603333333333333,0.7594,0.12382170816858609,0.12792012717723847,Adam,,,1e-06,1e-06,0.2,1.468996286392212,FWD
72,-9.658354464724349e-05,0.76045,0.7597,0.12401288802822431,0.12811702580451964,Adam,,,1e-06,1e-06,0.2,1.4514129161834717,FWD
73,-9.660929078042197e-05,0.7604166666666666,0.7595,0.12419382391174634,0.12830346491336822,Adam,,,1e-06,1e-06,0.2,1.4873108863830566,FWD
74,-9.663504898004855e-05,0.7605166666666666,0.7598,0.12436446300347646,0.12847895472049714,Adam,,,1e-06,1e-06,0.2,1.4244019985198975,FWD
75,-9.66607672899651e-05,0.7604166666666666,0.7599,0.1245233166416486,0.12864209549427033,Adam,,,1e-06,1e-06,0.2,1.4151480197906494,FWD
76,-9.668636876352441e-05,0.76045,0.76,0.12467590721050899,0.1287990721464157,Adam,,,1e-06,1e-06,0.2,1.4217228889465332,FWD
77,-9.671128382130216e-05,0.7605666666666666,0.76,0.1248303456445535,0.12895893211364745,Adam,,,1e-06,1e-06,0.2,1.4425787925720215,FWD
78,-9.673503295634874e-05,0.7606,0.7601,0.12498938888907432,0.1291239423751831,Adam,,,1e-06,1e-06,0.2,1.4444270133972168,FWD
79,-9.675751333901037e-05,0.7606666666666667,0.7601,0.12515150241454442,0.12929295268058777,Adam,,,1e-06,1e-06,0.2,1.426720142364502,FWD
80,-9.67789388669189e-05,0.7606666666666667,0.7603,0.12531626426378886,0.12946496584415434,Adam,,,1e-06,1e-06,0.2,1.4227042198181152,FWD
